AD,University of Andorra,http://www.uda.ad/,Abu Dhabi,Bachelors,Business,3.5,GRE 310,11199,USD,Yes
AE,Abu Dhabi University,http://www.adu.ac.ae/,Canada,Bachelors,Computer Science,3.38,TOEFL 100,16666,USD,No
AE,Ajman University of Science & Technology,http://www.ajman.ac.ae/,Australia,Masters,Mechanical Engineering,3.66,None,16932,EUR,No
AE,Alain University of Science and Technology,http://www.alainuniversity.ac.ae/,USA,Bachelors,Law,3.92,GRE 320,46852,USD,No
AE,Al Ghurair University,http://www.agu.ae/,USA,Bachelors,Business,3.21,TOEFL 100,19731,USD,Yes
AE,Alhosn University,http://www.alhosnu.ae/,Australia,Bachelors,Law,3.72,IELTS 7.5,18893,EUR,No
AE,Al Khawarizmi International College,http://www.khawarizmi.com/,UK,Masters,Business,3.35,None,10922,USD,No
AE,American College Of Dubai,http://www.acd.ac.ae/,Canada,Masters,Computer Science,3.04,IELTS 7.5,25256,EUR,Yes
AE,American University in Dubai,http://www.aud.edu/,Canada,Bachelors,Computer Science,3.52,None,18555,USD,No
AE,American University in the Emirates,http://www.aue.ae/,Canada,Masters,Law,3.36,None,39839,EUR,Yes
AE,American University of Sharjah,http://www.aus.edu/,USA,Bachelors,Business,3.8,GRE 320,49561,EUR,Yes
AE,British University in Dubai,http://www.buid.ac.ae/,Canada,Masters,Mechanical Engineering,3.88,IELTS 7.5,23657,USD,Yes
AE,Dubai Medical College for Girls,http://www.dmcg.edu/,Canada,Bachelors,Business,3.63,IELTS 7.5,39363,EUR,No
AE,Dubai Pharmacy College,http://www.dpc.edu/,Germany,Masters,Law,3.31,GRE 320,48997,EUR,No
AE,Etisalat University College,http://www.ece.ac.ae/,Germany,Masters,Computer Science,2.6,IELTS 7.5,21387,EUR,No
AE,Gulf Medical University,http://www.gmu.ac.ae/,Canada,Masters,Computer Science,3.44,GRE 320,24333,USD,Yes
AE,Hamdan Bin Mohammed e-University,http://www.hbmeu.ac.ae/,USA,Bachelors,Law,3.64,GRE 320,19677,EUR,No
AE,Higher Colleges of Technology,http://www.hct.ac.ae/,UK,Masters,Computer Science,3.29,TOEFL 100,37637,EUR,No
AE,Ittihad University,http://www.ittihad.ac.ae/,Australia,Bachelors,Business,2.91,TOEFL 100,24292,USD,Yes
AE,Jumeira University,http://www.ju.ac.ae/,USA,Bachelors,Psychology,2.6,GRE 320,38851,USD,Yes
AE,Khalifa University,http://www.kustar.ac.ae/,Australia,Bachelors,Mechanical Engineering,2.7,None,38535,EUR,No
AE,"Khalifa University of Science, Technology and Research",http://www.ku.ac.ae/,Germany,Masters,Computer Science,3.15,None,49467,EUR,Yes
AE,Masdar University Of Science And Technology,http://www.masdar.ac.ae/,Germany,Bachelors,Law,3.21,IELTS 7.5,27509,USD,No
AE,"New York University, Abu Dhabi",http://nyuad.nyu.edu/,Germany,Masters,Psychology,3.71,GRE 320,22224,EUR,No
AE,Paris-Sorbonne University Abu Dhabi,http://www.sorbonne.ae/,USA,Masters,Law,2.63,IELTS 7.5,44119,EUR,Yes
AE,Rak Medical & Health Sciences University,http://www.rakmhsu.com/,UK,Masters,Law,3.16,IELTS 7.5,16219,EUR,No
AE,"Rochester Institute of Technology, Dubai",http://dubai.rit.edu/,Germany,Bachelors,Psychology,3.82,GRE 320,22423,EUR,No
AE,"Skyline University College, Sharjah",http://www.skylineuniversity.com/,USA,Masters,Psychology,3.97,IELTS 7.5,14647,USD,Yes
AE,"Synergy University, Dubai Campus",http://www.synergydubai.ae/,Germany,Masters,Mechanical Engineering,3.44,None,35657,USD,No
AE,The Emirates Academy of Hotel Managment,http://www.emiratesacademy.edu/,UK,Bachelors,Law,2.65,TOEFL 100,37737,USD,No
AE,The Petroleum Institute,http://www.pi.ac.ae/,Australia,Masters,Law,2.91,None,37351,EUR,No
AE,United Arab Emirates University,http://www.uaeu.ac.ae/,Canada,Bachelors,Mechanical Engineering,3.5,GRE 320,24136,EUR,No
AE,University Of Dubai,http://www.ud.ac.ae/,UK,Masters,Business,2.84,IELTS 7.5,22568,EUR,Yes
AE,University of Jazeera,http://www.uojazeera.com/,UK,Masters,Psychology,2.59,TOEFL 100,28075,USD,No
AE,University of Sharjah,http://www.sharjah.ac.ae/,Germany,Bachelors,Psychology,2.61,IELTS 7.5,22302,USD,Yes
AE,University of Wollongong - Dubai Campus,http://www.uowdubai.ac.ae/,UK,Bachelors,Computer Science,2.8,None,26561,EUR,No
AE,Zayed University,http://www.zu.ac.ae/,Germany,Masters,Psychology,3.63,GRE 320,39120,EUR,Yes
AF,Afghan University,http://www.afghanuniversity.edu.af/,USA,Bachelors,Computer Science,3.57,IELTS 7.5,10930,USD,Yes
AF,Al-Birony University,http://www.au.edu.af/,Germany,Bachelors,Computer Science,3.44,TOEFL 100,47740,EUR,Yes
AF,American University of Afghanistan,http://www.auaf.edu.af/,Germany,Masters,Mechanical Engineering,3.24,GRE 320,28746,EUR,No
AF,Aria Institute of Higher Education,http://www.aria.edu.af/,Germany,Bachelors,Computer Science,3.32,GRE 320,26528,EUR,No
AF,Badakhshan University,http://www.badakhshan.edu.af/,Germany,Bachelors,Law,3.11,None,32383,USD,Yes
AF,Baghlan University,http://www.baghlan.edu.af/,Australia,Bachelors,Psychology,3.18,GRE 320,21237,EUR,No
AF,Bakhtar University,http://www.bakhtar.edu.af/,Germany,Masters,Business,2.86,GRE 320,20906,EUR,No
AF,Balkh University,http://www.ba.edu.af/,USA,Masters,Business,3.93,GRE 320,38221,EUR,No
AF,Bamiyan University,http://www.bu.edu.af/,Australia,Bachelors,Computer Science,2.76,TOEFL 100,33495,USD,No
AF,Bost University,http://www.bost.edu.af/,UK,Bachelors,Law,3.49,IELTS 7.5,43031,USD,No
AF,Dawat University,http://www.dawat.edu.af/,UK,Masters,Computer Science,3.65,IELTS 7.5,17445,USD,No
AF,Dunya Institute of Higher Education,http://www.dunya.edu.af/,Canada,Masters,Computer Science,3.47,GRE 320,41646,USD,Yes
AF,Faryab Higher Education Institute,http://www.faryab.edu.af/,Australia,Bachelors,Business,3.24,IELTS 7.5,15852,USD,Yes
AF,Ghazni University,http://www.gu.edu.af/,USA,Bachelors,Computer Science,3.89,GRE 320,31132,USD,Yes
AF,Herat University,http://www.hu.edu.af/,Australia,Bachelors,Psychology,3.46,TOEFL 100,13093,EUR,Yes
AF,Ibn Sina University,http://www.ibnesina.edu.af/,UK,Masters,Business,3.91,None,12861,USD,Yes
AF,Jawzjan University,http://www.ju.edu.af/,USA,Masters,Law,3.2,None,43162,USD,No
AF,Kaboora Institute of Higher Education,http://www.kaboora.edu.af/,Germany,Bachelors,Computer Science,3.96,IELTS 7.5,42147,EUR,No
AF,Kabul Education University,http://www.keu.edu.af/,UK,Bachelors,Psychology,3.81,GRE 320,48238,EUR,No
AF,Kabul Health Sciences Institute,http://www.kabuli.edu.af/,Germany,Masters,Business,3.0,None,19559,USD,No
AF,Kabul Medical University,http://www.kmu.edu.af/,Canada,Masters,Law,3.13,None,20649,USD,No
AF,Kabul University,http://www.ku.edu.af/,Australia,Masters,Law,3.38,TOEFL 100,30160,EUR,No
AF,Kandahar University,http://www.kan.edu.af/,UK,Bachelors,Business,3.58,None,47462,USD,No
AF,Kardan University,http://www.kardan.edu.af/,Germany,Masters,Computer Science,2.88,IELTS 7.5,48593,EUR,Yes
AF,Karwan Institute of Higher Education,http://www.karwan.edu.af/,Canada,Masters,Business,3.76,IELTS 7.5,48795,EUR,No
AF,Kateb Institute of Higher Education,http://www.kateb.edu.af/,USA,Bachelors,Mechanical Engineering,3.39,GRE 320,20884,USD,Yes
AF,Khana-e-Noor Institute of Higher Education,http://www.ken.edu.af/,Canada,Masters,Computer Science,2.65,IELTS 7.5,18681,USD,Yes
AF,Khurasan University,http://www.kumsa.net/,Australia,Masters,Psychology,3.96,GRE 320,17023,USD,Yes
AF,Maryam Institute of Higher Education,http://www.maryam.edu.af/,Australia,Masters,Psychology,3.27,GRE 320,42183,EUR,Yes
AF,Nangarhar University,http://www.nu.edu.af/,Germany,Bachelors,Psychology,3.77,TOEFL 100,13533,EUR,Yes
AF,National Military Academy of Afghanistan,http://www.nmaa.edu.af/,Australia,Masters,Law,3.79,GRE 320,25504,EUR,No
AF,Paktia University,http://www.pu.edu.af/,Germany,Masters,Mechanical Engineering,3.55,None,32338,EUR,No
AF,Pamir University,http://www.pamir.edu.af/,Canada,Bachelors,Business,2.93,IELTS 7.5,21761,EUR,Yes
AF,Parwan University,http://www.parwan.edu.af/,UK,Masters,Business,2.8,None,39406,USD,No
AF,Polytechnical University of Kabul,http://www.polytechnic-kabul.org/,Germany,Masters,Law,3.73,TOEFL 100,11656,USD,Yes
AF,Rana Institute of Higher Education,http://www.rihs.edu.af/,Australia,Masters,Business,2.83,IELTS 7.5,17811,USD,Yes
AF,Sadat Institute of Higher Education,http://www.sadat.edu.af/,Germany,Bachelors,Law,3.92,GRE 320,28703,EUR,Yes
AF,Salam University,http://www.salam.edu.af/,UK,Masters,Psychology,3.1,None,20995,USD,No
AF,Shaikh Zayed University,http://www.szu.edu.af/,Australia,Bachelors,Psychology,2.66,TOEFL 100,40641,EUR,No
AF,Taj Institute of Higher Education,http://www.taj.edu.af/,UK,Bachelors,Law,3.27,None,49095,USD,Yes
AF,Takhar University,http://www.tu.edu.af/,UK,Bachelors,Mechanical Engineering,3.78,TOEFL 100,41336,EUR,Yes
AG,American University of Antigua,http://www.auamed.org/,USA,Masters,Computer Science,3.7,TOEFL 100,12917,EUR,Yes
AG,University of Health Sciences Antigua,http://www.uhsa.ag/,USA,Bachelors,Computer Science,3.75,GRE 320,11754,EUR,No
AL,Academy of Arts,http://www.akademiaearteve.edu.al/,Canada,Masters,Psychology,3.38,None,37673,USD,Yes
AL,Academy of Sports and Physical Training,http://www.aefs.edu.al/,USA,Bachelors,Law,3.29,TOEFL 100,13256,EUR,No
AL,Agricultural University of Tirane,http://www.ubt.edu.al/,Germany,Bachelors,Law,3.31,GRE 320,47762,EUR,No
AL,American University of Tirana,http://www.uat.edu.al/,UK,Masters,Mechanical Engineering,3.41,IELTS 7.5,37908,USD,No
AL,Beder University,http://www.beder.edu.al/,Germany,Masters,Psychology,3.26,IELTS 7.5,28168,EUR,Yes
